sku,platform,url,error,timestamp
EDS-150,flipkart,https://www.flipkart.com/trunativ-everyday-sweet-monkfruit-sweetener-1-1-natural-sugar-replacer-diabetic-friendly/p/itm3435f7f5dd56a?pid=ARSGJPVFDEWSMMGJ,Price not found,2026-04-29 06:11:38
EDF-300,amazon,https://www.amazon.in/dp/B0CDCGZFKY,Price not found,2026-04-29 06:11:38
EDF-100,amazon,https://www.amazon.in/dp/B0B59MRG9M,Price not found,2026-04-29 06:11:38
EDF-100,amazon,https://www.amazon.in/dp/B0B59MRG9M,Price not found,2026-04-30 06:16:06
EDF-200,amazon,https://www.amazon.in/dp/B0C1ZG97MN,Price not found,2026-04-30 06:16:06
EDF-300,amazon,https://www.amazon.in/dp/B0CDCGZFKY,Price not found,2026-04-30 06:16:06
EDF-400,amazon,https://www.amazon.in/dp/B0CH8864W4,Price not found,2026-04-30 06:16:06
EDF-200,amazon,https://www.amazon.in/dp/B0C1ZG97MN,Price not found,2026-05-01 06:27:59
EDF-100,amazon,https://www.amazon.in/dp/B0B59MRG9M,Price not found,2026-05-01 06:27:59
EDS-150,flipkart,https://www.flipkart.com/trunativ-everyday-sweet-monkfruit-sweetener-1-1-natural-sugar-replacer-diabetic-friendly/p/itm3435f7f5dd56a?pid=ARSGJPVFDEWSMMGJ,Price not found,2026-05-01 06:27:59
EDF-300,amazon,https://www.amazon.in/dp/B0CDCGZFKY,Price not found,2026-05-01 06:27:59
EDF-600,amazon,https://www.amazon.in/dp/B0D4DNQTJR,Price not found,2026-05-02 05:53:03
EDS-150,amazon,https://www.amazon.in/dp/B0BHHHRZMW,Price not found,2026-05-02 05:53:03
EDF-400,amazon,https://www.amazon.in/dp/B0CH8864W4,Price not found,2026-05-02 05:53:03
EDF-500,amazon,https://www.amazon.in/dp/B0D4DRYQ46,Price not found,2026-05-02 05:53:03
EDF-100,amazon,https://www.amazon.in/dp/B0B59MRG9M,Price not found,2026-05-02 05:53:03
