sku,platform,live_price,mrp,discount %,timestamp
ACMC-S-60,amazon,499.0,831.67,40.0,2026-04-17 10:07:47
PRO-CC-S-216,amazon,899.0,416.2,-116.0,2026-04-17 10:07:47
PRO-RM-907,amazon,3199.0,352.7,-807.0,2026-04-17 10:07:47
PRO-SB-907,amazon,3199.0,352.7,-807.0,2026-04-17 10:07:47
PRO-CM-907,amazon,3199.0,352.7,-807.0,2026-04-17 10:07:47
PRO-RM-S-216,amazon,3199.0,352.7,-807.0,2026-04-17 10:07:47
EDS-400,amazon,529.0,132.25,-300.0,2026-04-17 10:07:47
PRO-KB-907,amazon,3299.0,363.73,-806.99,2026-04-17 10:07:47
PRO-SB-S-216,amazon,3199.0,352.7,-807.0,2026-04-17 10:07:47
PRO-CM-S-216,amazon,899.0,416.2,-116.0,2026-04-17 10:07:47
ACMC-200,amazon,1599.0,799.5,-100.0,2026-04-17 10:07:47
ACU-200,amazon,1599.0,799.5,-100.0,2026-04-17 10:07:47
PRO-MG-S-216,amazon,3199.0,352.7,-807.0,2026-04-17 10:07:47
PRO-BN-907,amazon,3299.0,363.73,-806.99,2026-04-17 10:07:47
ACLC-S-60,amazon,499.0,831.67,40.0,2026-04-17 10:07:47
PRO-KB-S-216,amazon,3299.0,363.73,-806.99,2026-04-17 10:07:47
ACU-S-60,amazon,499.0,249.5,-100.0,2026-04-17 10:07:47
PRO-MG-907,amazon,3199.0,352.7,-807.0,2026-04-17 10:07:47
PRO-CC-907,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
PRO-CM-S-216,amazon,899.0,416.2,-116.0,2026-04-17 12:19:30
PRO-KB-907,amazon,3299.0,363.73,-806.99,2026-04-17 12:19:30
ACLC-200,amazon,1599.0,799.5,-100.0,2026-04-17 12:19:30
PRO-KB-S-216,amazon,3299.0,363.73,-806.99,2026-04-17 12:19:30
PRO-RM-907,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
PRO-SB-S-216,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
PRO-RM-S-216,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
PRO-SB-907,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
PRO-BN-907,amazon,3299.0,363.73,-806.99,2026-04-17 12:19:30
ACBL-S-60,amazon,499.0,249.5,-100.0,2026-04-17 12:19:30
PRO-MG-907,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
PRO-CM-907,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
PRO-CC-S-216,amazon,899.0,416.2,-116.0,2026-04-17 12:19:30
ACMC-S-60,amazon,499.0,831.67,40.0,2026-04-17 12:19:30
PRO-MG-S-216,amazon,3199.0,352.7,-807.0,2026-04-17 12:19:30
ACLC-S-60,amazon,499.0,831.67,40.0,2026-04-17 12:19:30
ACMC-200,amazon,1599.0,799.5,-100.0,2026-04-17 12:19:30
ACU-S-60,amazon,499.0,249.5,-100.0,2026-04-17 12:19:30
ACU-200,amazon,1599.0,799.5,-100.0,2026-04-17 12:19:30
EDS-S-960,amazon,1199.0,124.9,-859.97,2026-04-17 12:19:30
EDS-S-480,amazon,719.0,149.79,-380.01,2026-04-17 12:19:30
EDP-400,amazon,1399.0,349.75,-300.0,2026-04-17 12:19:30
EDF-300,amazon,929.0,309.67,-200.0,2026-04-17 12:19:30
EDPP-900,amazon,2099.0,233.22,-800.01,2026-04-17 12:19:30
EDF-100,amazon,,,,2026-04-17 12:19:30
ACBL-200,amazon,1599.0,799.5,-100.0,2026-04-17 12:19:30
EDS-400,amazon,529.0,132.25,-300.0,2026-04-17 12:19:30
EDF-600,amazon,1649.0,274833.33,99.4,2026-04-17 12:19:30
EDF-400,amazon,1199.0,299.75,-300.0,2026-04-17 12:19:30
EDS-S-240,amazon,359.0,149.58,-140.01,2026-04-17 12:19:30
EDF-200,amazon,,,,2026-04-17 12:19:30
